username,original_link,tweet_id,retweets,impressions,day,link,stance,notes
ToshiAkima,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622827992845266944,452,306108,2023-02-07 05:21:58+00:00,https://twitter.com/ToshiAkima/status/1622827992845266944,nuanced_accurate,
healthbyjames,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623017549213405188,1370,71688,2023-02-07 17:55:12+00:00,https://twitter.com/healthbyjames/status/1623017549213405188,misleading,
naika_hashikure,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1622979360209920001,343,67504,2023-02-07 15:23:27+00:00,https://twitter.com/naika_hashikure/status/1622979360209920001,misleading,
robbysoave,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623085018598805506,393,60366,2023-02-07 22:23:18+00:00,https://twitter.com/robbysoave/status/1623085018598805506,misleading,
thackerpd,,1623037014861053953,502,100941,2023-02-07 19:12:33+00:00,https://twitter.com/thackerpd/status/1623037014861053953,misleading,
JenniferSey,,1624139246402474018,2805,388403,2023-02-10 20:12:26+00:00,https://twitter.com/JenniferSey/status/1624139246402474018,misleading,
MichaelPSenger,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624082006635339777,361,42940,2023-02-10 16:24:59+00:00,https://twitter.com/MichaelPSenger/status/1624082006635339777,misleading,
RandPaul,https://reason.com/2023/02/08/a-scientific-review-shows-the-cdc-grossly-exaggerated-the-evidence-supporting-mask-mandates/,1623872271776358402,1525,237941,2023-02-10 02:31:34+00:00,https://twitter.com/RandPaul/status/1623872271776358402,misleading,
guypbenson,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624061935900672002,530,261443,2023-02-10 15:05:13+00:00,https://twitter.com/guypbenson/status/1624061935900672002,misleading,
tatiann69922625,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1623989316719370242,285,15510,2023-02-10 10:16:40+00:00,https://twitter.com/tatiann69922625/status/1623989316719370242,misleading,
MichaelPSenger,,1624223551120375809,1597,365819,2023-02-11 01:47:25+00:00,https://twitter.com/MichaelPSenger/status/1624223551120375809,misleading,
TiceRichard,,1624531944917848064,595,112063,2023-02-11 22:12:52+00:00,https://twitter.com/TiceRichard/status/1624531944917848064,misleading,
TRyanGregory,https://www.tvo.org/article/once-and-for-all-masks-reduce-the-risk-of-spreading-covid,1624750842166362115,406,49688,2023-02-12 12:42:41+00:00,https://twitter.com/TRyanGregory/status/1624750842166362115,misleading,
jhmdrei,,1624558909850816512,653,49174,2023-02-12 00:00:01+00:00,https://twitter.com/jhmdrei/status/1624558909850816512,misleading,
IngrahamAngle,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1625006721251872768,499,104279,2023-02-13 05:39:28+00:00,https://twitter.com/IngrahamAngle/status/1625006721251872768,misleading,
MichaelPSenger,https://slate.com/technology/2023/02/masks-effectiveness-cochrane-review.html,1625271126493646848,250,62916,2023-02-13 23:10:07+00:00,https://twitter.com/MichaelPSenger/status/1625271126493646848,misleading,
